date,cycle_phase,wso_reference_g,hmi_candidate_g,geomag_index,quality_flag
2023-01,rising,-1.9,-2.36,15.5,ok
2023-02,rising,-1.8,-2.43,16.64,ok
2023-03,rising,-1.5,-2.03,18.09,ok
2023-04,rising,-1.1,-1.49,19.71,ok
2023-05,rising,-0.7,-0.94,19.86,ok
2023-06,rising,-0.1,-0.14,19.98,ok
2023-07,rising,0.4,0.54,20.05,ok
2023-08,rising,1.0,1.55,18.62,suspect_geometry
2023-09,rising,1.6,2.16,17.29,ok
2023-10,rising,2.2,2.97,16.21,ok
2023-11,rising,2.7,3.65,14.05,ok
2023-12,rising,2.9,3.92,12.49,ok
2023-13,maximum,3.0,4.05,11.72,ok
2023-14,maximum,2.8,3.78,10.35,ok
2023-15,maximum,2.4,3.44,10.01,ok
2023-16,maximum,1.9,2.56,10.71,ok
2023-17,declining,1.2,1.62,10.93,ok
2023-18,declining,0.6,0.81,12.11,ok
2023-19,declining,0.0,0.0,14.1,ok
2023-20,declining,-0.6,-0.81,15.25,ok
2023-21,declining,-1.0,-1.35,16.87,ok
2023-22,declining,-1.5,-1.83,18.78,ok
2023-23,declining,-1.8,-2.43,19.34,suspect_timing
2023-24,declining,-2.0,-2.7,19.91,ok
2023-25,declining,-2.1,-2.84,20.45,ok
2023-26,declining,-1.9,-2.56,19.44,ok
2023-27,declining,-1.8,-2.43,18.44,ok
2023-28,declining,-1.5,-2.03,17.56,ok
2023-29,declining,-1.1,-1.29,15.46,ok
2023-30,declining,-0.7,-0.94,13.8,ok
