date,cycle_phase,wso_reference_g,hmi_candidate_g,quality_flag
2010-06,rising,2.40,3.30,ok
2011-06,rising,2.10,2.90,ok
2012-06,maximum,1.70,2.50,ok
2013-06,maximum,1.10,1.72,ok
2014-06,declining,0.40,1.36,suspect_geometry
2015-06,declining,-0.30,0.08,ok
2016-06,declining,-0.90,-0.64,ok
2017-06,minimum_approach,-1.40,-1.18,ok
2018-06,minimum_approach,-1.80,-1.70,ok
2019-06,minimum,-2.00,-1.93,ok
2020-06,rising,-1.70,-1.58,ok
2021-06,rising,-1.20,-0.95,ok
2022-06,rising,-0.60,-0.28,ok
2023-06,maximum_approach,0.10,0.58,ok
2024-06,maximum,0.80,1.37,ok
2025-01,maximum,1.40,2.12,ok
2025-04,maximum,1.90,2.72,ok
2025-07,maximum,2.30,3.14,ok
