# E. MWO FACULAR COUNTS FOR BOTH POLES CALIBRATED TO WSO BY ANDRES MUNOZ-JARAMILLO
#
# VERSION 2 - Please indicate version used in scientific publications in case of changes.
#
# Faculae counted by hand on the best 5 images during the periods of maximum pole coverage
# (August 15-September 15 for the North pole and February 15-March 15 for the South pole) 
# and averaged.  Standard deviation has been turned into standard error by dividing it by sqrt(5).
# Years with multiple observations have been averaged as well as their their standard errors.
#
# Calibration between campaigns was made taking advantage of the overlaps between them.   All campaigns
# were standardized to the values of the 3rd campaign in order to reduce error propagation.
# Calibration factors used were:
#
# 1. To turn 1st campaign values into 2nd campaign:  0.8733 +/- 0.0343
# 2. To turn 2nd campaign values into 3rd campaign:  0.7293 +/- 0.1918
# 3. To turn 4th campaign values into 3rd campaign:  1.6601 +/- 0.1861
#
# Unification of all campaigns is performed by averaging overlapping years between the calibrated campaigns
# as well as their standard errors.
#
# Calibration to WSO field is performed by using WSO data only during periods of maximum polar coverage
# and the overlap between the unified WSO facular count and WSO data.
# The calibration factor used was:
#
# To turn MWO facular counts to WSO magnetic field:  (0.0852 +/- 0.0069) Gauss
#
# Original papers reporting the different MWO data reduction campaigns are:
#
# 1st Campaign:
# Sheeley N. R. Jr. 1964 ApJ 140 731
# Sheeley N. R. Jr. 1966 ApJ 144 723
#
# 2nd Campaign:
# Sheeley N. R. Jr. 1976 J. Geophys. Res. 81 3462
#
# 3rd Campagin:
# Sheeley N. R. Jr. 1991 ApJ 374 386
#
# 4th Campagin:
# Sheeley N. R. Jr. 2008 ApJ 680 1553
#
# Details on the consolidation and calibration of the different campaigns can be found in:
#
# A. Munoz-Jaramillo, N. R. Sheeley, Jr., J. Zhang, and E. E. DeLuca
# CALIBRATING 100 YEARS OF POLAR FACULAE MEASUREMENTS: IMPLICATIONS
# FOR THE EVOLUTION OF THE HELIOSPHERIC MAGNETIC FIELD
# ApJ, 753, 146. (2012)  doi:10.1088/0004-637X/753/2/146
#
# Paper available from:
# https://ui.adsabs.harvard.edu/abs/2012ApJ...753..146M/abstract
# 
#
# 1st (7th) column indicates time of measurement for MWO northern (southern) hemisphere data.
# 2nd (8th) column contains MWO facular count for the North (South) pole calibrated to WSO polar field.  Units are in Gauss
# 3rd (9th) column contains standard error of the mean (SEM) in MWO facular count for the North (South) pole.  Units are in Gauss 
# 4th (10th) column indicates time of measurement for WSO northern (southern) hemisphere data.
# 5th (11th) column contains WSO polar field.  Units are in Gauss
# 6th (12th) column contains estimated standard error for WSO data based on equivalent measurements on MDI and HMI.  Units are in Gauss 
#
#
# Created on 16-Oct-2023
#
N MWO Date,N MWO PField,N MWO SEM,N WSO Date,N WSO PField,N WSO SEM,S MWO Date,S MWO PField,S MWO SEM,S WSO Date,S WSO PField,S WSO SEM
1906.7,-0.20077,0.091731,NaN,NaN,NaN,1906.2,NaN,NaN,NaN,NaN,NaN
1907.7,-0.16279,0.051347,NaN,NaN,NaN,1907.2,0.27132,0.10482,NaN,NaN,NaN
1908.7,0.15736,0.074793,NaN,NaN,NaN,1908.2,-0.44497,0.13287,NaN,NaN,NaN
1909.7,0.56434,0.19832,NaN,NaN,NaN,1909.2,-0.34728,0.10805,NaN,NaN,NaN
1910.7,0.81939,0.24758,NaN,NaN,NaN,1910.2,-1.0093,0.32797,NaN,NaN,NaN
1911.7,0.64031,0.20881,NaN,NaN,NaN,1911.2,-0.75969,0.21117,NaN,NaN,NaN
1912.7,0.74341,0.21537,NaN,NaN,NaN,1912.2,-1.7093,0.47513,NaN,NaN,NaN
1913.7,1.1178,0.39426,NaN,NaN,NaN,1913.2,NaN,NaN,NaN,NaN,NaN
1914.7,0.93337,0.30363,NaN,NaN,NaN,1914.2,-0.79768,0.27932,NaN,NaN,NaN
1915.7,1.3349,0.38354,NaN,NaN,NaN,1915.2,-0.75969,0.28685,NaN,NaN,NaN
1916.7,0.23334,0.081008,NaN,NaN,NaN,1916.2,-0.66202,0.22042,NaN,NaN,NaN
1917.7,0.054264,0.039403,NaN,NaN,NaN,1917.2,-0.5969,0.20555,NaN,NaN,NaN
1918.7,-0.14108,0.062399,NaN,NaN,NaN,1918.2,0.23876,0.098516,NaN,NaN,NaN
1919.7,-1.2318,0.38776,NaN,NaN,NaN,1919.2,1.2264,0.38087,NaN,NaN,NaN
1920.7,-2.6372,0.77218,NaN,NaN,NaN,1920.2,2.3659,0.70976,NaN,NaN,NaN
1921.7,-2.1597,0.61018,NaN,NaN,NaN,1921.2,2.7024,0.82442,NaN,NaN,NaN
1922.7,-2.5504,0.74181,NaN,NaN,NaN,1922.2,1.8016,0.56748,NaN,NaN,NaN
1923.7,-1.4868,0.44684,NaN,NaN,NaN,1923.2,1.6387,0.46575,NaN,NaN,NaN
1924.7,-1.3457,0.37896,NaN,NaN,NaN,1924.2,1.3457,0.43316,NaN,NaN,NaN
1925.7,-0.66202,0.24237,NaN,NaN,NaN,1925.2,1.4543,0.47149,NaN,NaN,NaN
1926.7,-0.26589,0.122,NaN,NaN,NaN,1926.2,0.64031,0.22996,NaN,NaN,NaN
1927.7,-0.21706,0.085562,NaN,NaN,NaN,1927.2,0.3907,0.13075,NaN,NaN,NaN
1928.7,0.027132,0.061136,NaN,NaN,NaN,1928.2,0.43411,0.17113,NaN,NaN,NaN
1929.7,0.05969,0.033516,NaN,NaN,NaN,1929.2,-0.40155,0.13326,NaN,NaN,NaN
1930.7,0.37442,0.12047,NaN,NaN,NaN,1930.2,-0.48837,0.15404,NaN,NaN,NaN
