target_cycle_id,polar_mean_abs_gauss,weakest_hemisphere_abs_gauss,north_abs_gauss,south_abs_gauss,target,target_dispersion,measurement_regime,north_source,south_source
15,1.41355,1.1178,1.1178,1.7093,175.666667,11.822207,MWO,MWO,MWO
16,1.56275,1.4868,1.4868,1.6387,130.229167,10.167042,MWO,MWO,MWO
17,0.895355,0.79225,0.99846,0.79225,198.641667,12.568943,MWO,MWO,MWO
18,1.75545,1.4543,2.0566,1.4543,218.733333,10.328924,MWO,MWO,MWO
19,2.18955,2.0837,2.2954,2.0837,285.004167,11.298599,MWO,MWO,MWO
20,1.26758,0.98176,1.5534,0.98176,156.629167,8.350873,MWO,MWO,MWO
21,1.215,1.17,1.17,1.26,232.916667,10.213043,WSO,WSO,WSO
22,1.585,1.33,1.33,1.84,212.483333,12.679117,WSO,WSO,WSO
23,1.22,1.2,1.24,1.2,180.275,10.823778,WSO,WSO,WSO
24,0.73,0.67,0.67,0.79,116.425,8.238755,WSO,WSO,WSO
