cycle,official_min_date,official_min_sn,official_max_date,official_max_sn,issue_date,feature_start_date,feature_end_date,feature_month_count,rise_rate_monthly_7_24,max_input_date,asof_smoothed_available_through,asof_minimum_value,asof_minimum_candidate_dates,official_minimum_is_asof_candidate,future_input_count,target_after_issue
1,1755-02-01,14.0,1761-06-01,144.1,1757-02-01,1755-09-01,1757-02-01,18,-0.08276573787409644,1757-02-01,1756-08-01,14.0,1755-02-01|1755-03-01,True,0,True
2,1766-06-01,18.6,1769-09-01,193.0,1768-06-01,1767-01-01,1768-06-01,18,4.089060887512903,1768-06-01,1767-12-01,18.6,1766-06-01,True,0,True
3,1775-06-01,12.0,1778-05-01,264.2,1777-06-01,1776-01-01,1777-06-01,18,6.936738906088752,1777-06-01,1776-12-01,12.0,1775-06-01,True,0,True
4,1784-09-01,15.9,1788-02-01,235.3,1786-09-01,1785-04-01,1786-09-01,18,8.098452012383904,1786-09-01,1786-03-01,15.9,1784-09-01,True,0,True
5,1798-04-01,5.3,1805-02-01,82.0,1800-04-01,1798-11-01,1800-04-01,18,-0.5587203302373577,1800-04-01,1799-10-01,5.3,1798-04-01,True,0,True
6,1810-07-01,0.0,1816-05-01,81.2,1812-07-01,1811-02-01,1812-07-01,18,0.10670794633642952,1812-07-01,1812-01-01,0.0,1810-03-01|1810-04-01|1810-05-01|1810-06-01|1810-07-01|1810-08-01|1810-09-01|1810-10-01|1810-11-01|1810-12-01,True,0,True
7,1823-05-01,0.1,1829-11-01,119.2,1825-05-01,1823-12-01,1825-05-01,18,-0.13292053663570674,1825-05-01,1824-11-01,0.2,1823-03-01|1823-04-01|1823-05-01,True,0,True
8,1833-11-01,12.2,1837-03-01,244.9,1835-11-01,1834-06-01,1835-11-01,18,8.913312693498455,1835-11-01,1835-05-01,12.2,1833-11-01,True,0,True
9,1843-07-01,17.6,1848-02-01,219.9,1845-07-01,1844-02-01,1845-07-01,18,3.340660474716203,1845-07-01,1845-01-01,17.6,1843-07-01,True,0,True
10,1855-12-01,6.0,1860-02-01,186.2,1857-12-01,1856-07-01,1857-12-01,18,4.098864809081529,1857-12-01,1857-06-01,6.0,1855-12-01,True,0,True
11,1867-03-01,9.9,1870-08-01,234.0,1869-03-01,1867-10-01,1869-03-01,18,5.293704850361199,1869-03-01,1868-09-01,9.9,1867-03-01,True,0,True
12,1878-12-01,3.7,1883-12-01,124.4,1880-12-01,1879-07-01,1880-12-01,18,3.789680082559341,1880-12-01,1880-06-01,3.7,1878-12-01,True,0,True
13,1890-03-01,8.3,1894-01-01,146.5,1892-03-01,1890-10-01,1892-03-01,18,5.637358101135193,1892-03-01,1891-09-01,8.3,1890-03-01,True,0,True
14,1902-01-01,4.5,1906-02-01,107.1,1904-01-01,1902-08-01,1904-01-01,18,3.5006191950464407,1904-01-01,1903-07-01,4.5,1902-01-01,True,0,True
15,1913-07-01,2.5,1917-08-01,175.7,1915-07-01,1914-02-01,1915-07-01,18,5.809184726522189,1915-07-01,1915-01-01,2.5,1913-07-01|1913-08-01,True,0,True
16,1923-08-01,9.3,1928-04-01,130.2,1925-08-01,1924-03-01,1925-08-01,18,2.6230134158926757,1925-08-01,1925-02-01,9.4,1923-07-01|1923-08-01,True,0,True
17,1933-09-01,5.8,1937-04-01,198.6,1935-09-01,1934-04-01,1935-09-01,18,3.0743034055727563,1935-09-01,1935-03-01,5.8,1933-09-01,True,0,True
18,1944-02-01,12.9,1947-05-01,218.7,1946-02-01,1944-09-01,1946-02-01,18,4.749122807017546,1946-02-01,1945-08-01,12.9,1944-02-01,True,0,True
19,1954-04-01,5.1,1958-03-01,285.0,1956-04-01,1954-11-01,1956-04-01,18,9.705675954592365,1956-04-01,1955-10-01,5.1,1954-04-01,True,0,True
20,1964-10-01,14.3,1968-11-01,156.6,1966-10-01,1965-05-01,1966-10-01,18,3.9848297213622312,1966-10-01,1966-04-01,14.3,1964-10-01,True,0,True
21,1976-03-01,17.8,1979-12-01,232.9,1978-03-01,1976-10-01,1978-03-01,18,5.10763673890609,1978-03-01,1977-09-01,17.8,1976-03-01,True,0,True
22,1986-09-01,13.5,1989-11-01,212.5,1988-09-01,1987-04-01,1988-09-01,18,6.638183694530445,1988-09-01,1988-03-01,13.5,1986-09-01,True,0,True
23,1996-08-01,11.2,2001-11-01,180.3,1998-08-01,1997-03-01,1998-08-01,18,5.393292053663571,1998-08-01,1998-02-01,11.2,1996-05-01|1996-08-01,True,0,True
24,2008-12-01,2.2,2014-04-01,116.4,2010-12-01,2009-07-01,2010-12-01,18,1.7594427244582054,2010-12-01,2010-06-01,2.2,2008-12-01,True,0,True
